kind, date, description, amount, how_paid, balance
DEBIT,3/14/2013,"ONLINE PAYMENT TO NICOR GAS 03/14",-118.73,BILLPAY,,
DEBIT,3/14/2013,"ONLINE PAYMENT TO AT&T 03/14",-31.87,BILLPAY,,
DEBIT,3/14/2013,"POS DEBIT                HERITAGE HEALTH FOOD     COUNTRY CLUB  IL",-22.02,MISC_DEBIT,,
DEBIT,3/14/2013,"POS DEBIT                B&N BOOKSTR DEPAUL #085  CHICAGO       IL",-2.49,MISC_DEBIT,,
DEBIT,3/13/2013,"PAYPAL           INST XFER  4MFJ26UJXVS9Y   WEB ID: PAYPALSI66",-25.00,ACH_DEBIT,2673.31,
DEBIT,3/13/2013,"HARVEY'S CORNER BP COUNTRY CLUB IL           03/12",-43.43,DEBIT_CARD,2698.31,
DEBIT,3/13/2013,"HOMEGOODS #0508 TINLEY PARK IL               03/12",-53.47,DEBIT_CARD,2741.74,
DEBIT,3/13/2013,"TJMAXX #0486 TINLEY PARK IL                  03/12",-12.94,DEBIT_CARD,2795.21,
DEBIT,3/13/2013,"B&N BOOKSTR DEPAUL #085 CHICAGO IL           03/12",-2.49,DEBIT_CARD,2808.15,
DEBIT,3/13/2013,"USPS 16156200429500212 CHICAGO IL            03/12",-3.56,DEBIT_CARD,2810.64,
DEBIT,3/13/2013,"MEIJER #262 ORLAND PARK IL                   03/11",-27.08,DEBIT_CARD,2814.20,
DEBIT,3/13/2013,"ULTA 3 #7 ORLAND PARK IL                     03/11",-49.46,DEBIT_CARD,2841.28,
DEBIT,3/12/2013,"EUROFRESH MARKET TINLEY PARK IL              03/11",-19.81,DEBIT_CARD,2890.74,
DEBIT,3/12/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           03/11",-82.43,DEBIT_CARD,2910.55,
DEBIT,3/12/2013,"TRADER JOE'S #686  QPS ORLAND PARK IL        03/11",-76.01,DEBIT_CARD,2992.98,
DEBIT,3/12/2013,"B&N BOOKSTR DEPAUL #085 CHICAGO IL           03/11",-2.49,DEBIT_CARD,3068.99,
DEBIT,3/12/2013,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        03/12",-25.98,DEBIT_CARD,3071.48,
DEBIT,3/12/2013,"TJMAXX #256 HOMEWOOD IL                      03/11",-77.73,DEBIT_CARD,3097.46,
DEBIT,3/12/2013,"PETCO 1967    63519672 HOMEWOOD IL           03/11",-31.00,DEBIT_CARD,3175.19,
DEBIT,3/11/2013,"PAYPAL           INST XFER  4MFJ26U5MX3HN   WEB ID: PAYPALSI66",-5.00,ACH_DEBIT,3206.19,
DEBIT,3/11/2013,"PAYPAL           INST XFER  4MFJ26UC44NB4   WEB ID: PAYPALSI66",-11.69,ACH_DEBIT,3211.19,
DEBIT,3/11/2013,"PAYPAL           INST XFER  4MFJ26UC3ZVDN   WEB ID: PAYPALSI66",-11.94,ACH_DEBIT,3222.88,
DEBIT,3/11/2013,"PAYPAL           INST XFER  4MFJ26U5WB5HJ   WEB ID: PAYPALSI66",-69.95,ACH_DEBIT,3234.82,
DEBIT,3/11/2013,"ATM WITHDRAWAL                       004773  03/1118701 S H",-160.00,ATM,3478.34,
DEBIT,3/11/2013,"DICK'S CLOTHING&SPORTI ORLAND PARK IL        03/09",-16.30,DEBIT_CARD,3638.34,
DEBIT,3/11/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           03/09",-46.32,DEBIT_CARD,3654.64,
DEBIT,3/11/2013,"WAL-MART #1556 ORLAND HILLS IL               03/08",-100.20,DEBIT_CARD,3700.96,
DEBIT,3/11/2013,"JEWEL #3167 SOUTH CHICAGO IL                 03/08",-32.27,DEBIT_CARD,3801.16,
DEBIT,3/11/2013,"ULTA 3 #7 ORLAND PARK IL                     03/08",-13.01,DEBIT_CARD,3833.43,
DEBIT,3/11/2013,"TRADER JOE'S #686  QPS ORLAND PARK IL        03/08",-61.22,DEBIT_CARD,3846.44,
DEBIT,3/11/2013,"B&N BOOKSTR DEPAUL #085 CHICAGO IL           03/08",-2.49,DEBIT_CARD,3907.66,
DEBIT,3/8/2013,"8008089000 PIONEERTELE 888-4926878 ME        03/07",-2.93,DEBIT_CARD,3910.15,
DEBIT,3/8/2013,"HERITAGE HEALTH FOOD COUNTRY CLUB IL         03/06",-9.99,DEBIT_CARD,3913.08,
DEBIT,3/7/2013,"CAPITOL NUTRITION ORLAND PARK IL             03/05",-128.02,DEBIT_CARD,1371.53,
DEBIT,3/6/2013,"SHELL OIL 5744399550 CHICAGO HEIGH IL        03/05",-44.11,DEBIT_CARD,1165.30,
DEBIT,3/6/2013,"B&N BOOKSTR DEPAUL #085 CHICAGO IL           03/05",-2.49,DEBIT_CARD,1209.41,
DEBIT,3/6/2013,"MEIJER #262 ORLAND PARK IL                   03/04",-63.32,DEBIT_CARD,1211.90,
DEBIT,3/5/2013,"SHELL OIL 57444094304 STEGER IL              03/04",-26.01,DEBIT_CARD,1275.22,
DEBIT,3/5/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           03/04",-72.01,DEBIT_CARD,1301.23,
DEBIT,3/5/2013,"TRADER JOE'S #686  QPS ORLAND PARK IL        03/04",-91.92,DEBIT_CARD,1373.24,
DEBIT,3/5/2013,"PETCO 1915    63519151 ORLAND PARK IL        03/04",-36.63,DEBIT_CARD,1465.16,
DEBIT,3/5/2013,"PETSMART INC 1374 SCHERERVILLE IN            03/04",-31.98,DEBIT_CARD,1501.79,
DEBIT,3/5/2013,"CVS PHARMACY #2810 Q03 CHICAGO IL            03/04",-3.05,DEBIT_CARD,1533.77,
DEBIT,3/4/2013,"ATM WITHDRAWAL                       002366  03/0418701 S H",-160.00,ATM,1538.11,
DEBIT,3/4/2013,"TARGET        00022632 MATTESON IL           03/03",-12.30,DEBIT_CARD,1698.11,
DEBIT,3/4/2013,"TRADER JOE'S #686  QPS ORLAND PARK IL        03/02",-28.53,DEBIT_CARD,1710.41,
DEBIT,3/4/2013,"CRETE ACE HARDWARE CRETE IL                  03/02",-48.11,DEBIT_CARD,1738.94,
DEBIT,3/4/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           03/01",-32.89,DEBIT_CARD,1787.05,
DEBIT,3/4/2013,"STARBUCKS #02373 CHICAG Chicago IL           03/01",-50.00,DEBIT_CARD,1819.94,
DEBIT,3/4/2013,"METRA TINLEY PARK TINLEY PARK IL             03/01",-149.50,DEBIT_CARD,1869.94,
DEBIT,3/1/2013,"CAPITOL NUTRITION ORLAND PARK IL             02/27",-35.91,DEBIT_CARD,1319.44,
DEBIT,3/1/2013,"CAPITOL NUTRITION ORLAND PARK IL             02/27",-66.44,DEBIT_CARD,1355.35,
DEBIT,3/1/2013,"COUNTRY MUTUAL   INSURANCE                  PPD ID: 2370807507",-217.01,ACH_DEBIT,1421.79,
DEBIT,3/1/2013,"METRA MILLENNIUM STATIO CHICAGO IL           02/28",-96.25,DEBIT_CARD,1638.80,
DEBIT,3/1/2013,"SPEEDWAY 07427 720 TINLEY PARK IL            02/28",-41.85,DEBIT_CARD,1735.05,
DEBIT,3/1/2013,"MEIJER #262 ORLAND PARK IL                   02/27",-35.29,DEBIT_CARD,1776.90,
DEBIT,2/28/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           02/27",-61.56,DEBIT_CARD,3287.71,
DEBIT,2/28/2013,"MICHAELS #0104 OLAND PARK IL                 02/27",-36.14,DEBIT_CARD,3349.27,
DEBIT,2/28/2013,"TRADER JOE'S #686  QPS ORLAND PARK IL        02/27",-79.16,DEBIT_CARD,3385.41,
DEBIT,2/28/2013,"HERITAGE HEALTH FOOD COUNTRY CLUB IL         02/26",-20.98,DEBIT_CARD,3464.57,
DEBIT,2/27/2013,"ATM WITHDRAWAL                       003595  02/274411 LINC",-20.00,ATM,3485.55,
DEBIT,2/27/2013,"ATM WITHDRAWAL                       003594  02/274411 LINC",-60.00,ATM,3505.55,
DEBIT,2/27/2013,"PETCO 1967    63519672 HOMEWOOD IL           02/26",-42.40,DEBIT_CARD,3565.55,
DEBIT,2/27/2013,"STARBUCKS #02689 CHICAG Chicago IL           02/26",-50.00,DEBIT_CARD,3607.95,
DEBIT,2/27/2013,"CORNER BAKERY 01100627 CHICAGO IL            02/26",-20.44,DEBIT_CARD,3657.95,
CREDIT,2/27/2013,"Online Transfer from SAV ...7825 transaction#: 3136996302",1500.00,ACCT_XFER,3678.39,
DEBIT,2/26/2013,"IPASS AUTOREPLENISH # 800-824-7277 IL        02/24",-40.00,DEBIT_CARD,2178.39,
DEBIT,2/26/2013,"JEWEL #3167 SOUTH CHICAGO IL                 02/25",-21.99,DEBIT_CARD,2218.39,
DEBIT,2/26/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           02/25",-56.93,DEBIT_CARD,2240.38,
DEBIT,2/25/2013,"SHELL OIL 57445175003 HARVEY IL              02/24",-38.89,DEBIT_CARD,2297.31,
DEBIT,2/25/2013,"BUCA DI BEPPO-LOMBARD LOMBARD IL             02/24",-352.07,DEBIT_CARD,2336.20,
DEBIT,2/25/2013,"SHELL OIL 57444082101 CRETE IL               02/23",-32.28,DEBIT_CARD,2688.27,
DEBIT,2/25/2013,"CARIBOU COFFEE CO # 723 BATAVIA IL           02/23",-2.35,DEBIT_CARD,2720.55,
DEBIT,2/25/2013,"Forex VPS, LLC 404-671-9170 GA               02/23",-35.00,DEBIT_CARD,2722.90,
DEBIT,2/25/2013,"CORNER BAKERY 01100627 CHICAGO IL            02/23",-20.44,DEBIT_CARD,2757.90,
DEBIT,2/25/2013,"PETSMART INC 1641 TINLEY PARK IL             02/22",-38.91,DEBIT_CARD,2778.34,
DEBIT,2/25/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           02/22",-62.80,DEBIT_CARD,2817.25,
DEBIT,2/22/2013,"WALT'S FOOD - CRET CRETE IL                  02/21",-20.84,DEBIT_CARD,2880.05,
DEBIT,2/22/2013,"STARBUCKS #02373 CHICAG Chicago IL           02/21",-50.00,DEBIT_CARD,2900.89,
DEBIT,2/22/2013,"PARTY LIQUORS OF STEGE STEGER IL             02/20",-19.87,DEBIT_CARD,2950.89,
DEBIT,2/21/2013,"PAYPAL           INST XFER  4MFJ26SBVUGEN   WEB ID: PAYPALSI66",-15.99,ACH_DEBIT,321.61,
